Year,Liver cancer,Kidney cancer,Lip and oral cavity cancer,Tracheal bronchus and lung cancer,Larynx cancer,Gallbladder and biliary tract cancer,Malignant skin melanoma,Leukemia,Hodgkin lymphoma,Multiple myeloma,Other neoplasms,Breast cancer,Prostate cancer,Thyroid cancer,Stomach cancer,Bladder cancer,Uterine cancer,Ovarian cancer,Cervical cancer,Brain and central nervous system cancer,Non-Hodgkin lymphoma,Pancreatic cancer,Esophageal cancer,Testicular cancer,Nasopharynx cancer,Other pharynx cancer,Colon and rectum cancer,Non-melanoma skin cancer,Mesothelioma
1990,2197937,463841,580480,6746588,527995,598673,214256,1591159,165392,335232,151602,2377331,1475430,139766,4803439,773401,347035,626024,1078485,859081,795774,1282999,1929248,44363,313541,310947,3311915,144156,102526,0
1991,2303343,478502,593502,6887314,536496,607285,219591,1602606,165777,345011,155573,2424223,1516744,142488,4816858,789693,350732,637887,1082437,874919,821008,1320986,1975933,44429,318367,318968,3382776,147154,104248,0
1992,2405275,495189,607843,7042750,544641,616579,225947,1613980,165726,355983,160053,2478131,1560093,145816,4844329,806817,356060,651286,1097501,891095,847602,1361529,2018726,44605,321361,327444,3463449,150961,106373,0
1993,2512346,516667,629063,7272637,559024,628056,234997,1629992,165481,368514,165303,2557171,1607490,149678,4911637,829289,365889,665844,1110249,911058,881228,1419160,2071737,44898,324701,338844,3582616,154988,109037,0
1994,2620196,533705,647577,7426719,568056,636187,242157,1647788,165284,380694,170004,2616447,1650716,153064,4923082,847054,372234,680530,1124960,931215,910558,1459514,2104347,45457,326697,348577,3661200,158311,111087,0
1995,2715237,546373,659787,7571419,568703,642251,247862,1662811,164415,392324,175209,2660890,1693083,155984,4909693,862586,374457,702039,1131531,949541,937839,1493639,2139254,46071,329488,354590,3731762,161232,112836,0
1996,2791427,556428,672908,7663649,569252,649798,251347,1667881,162569,403535,180232,2698615,1735291,158722,4885983,874699,378770,714051,1143560,968436,958798,1523417,2179538,46683,331519,364740,3788525,164848,114334,0
1997,2837165,568731,691102,7762999,572881,661252,255138,1677423,160857,415599,185719,2739836,1774292,161947,4881650,886783,384104,728098,1162457,989400,980018,1558659,2225058,47204,335111,378384,3855947,168394,115932,0
1998,2881568,584653,704029,7909151,572477,674485,260167,1693329,159498,428310,191821,2783462,1816159,165458,4921950,901509,390886,741838,1174442,1010561,1001090,1604615,2281304,47735,339750,387584,3950643,173215,117537,0
1999,2905676,603521,717660,8113609,573138,691694,266926,1711422,159086,440361,198521,2844417,1855386,169315,5017664,920455,401960,756750,1192889,1034109,1022086,1662543,2356421,48481,343434,395032,4080942,178274,120547,0
2000,2846943,622035,733710,8313616,575846,708536,272638,1722644,158083,451262,204741,2887881,1898438,173034,5140706,935264,410062,777564,1209749,1058479,1034733,1718182,2455153,49041,344837,404278,4196136,184700,123497,0
2001,2695368,639087,748857,8476272,577215,724454,278604,1727727,156164,461617,211212,2934262,1944099,176637,5251779,949923,417978,795220,1228184,1075036,1042853,1776425,2544202,49084,342520,414106,4308063,192389,126193,0
2002,2486614,662005,766243,8697290,581445,746728,285534,1726880,154374,473134,217767,2991587,1995152,181157,5412043,970392,427986,814769,1254185,1092736,1054991,1847782,2642172,49411,341497,424679,4452434,199934,129879,0
2003,2318470,685777,782691,8899909,583020,770214,291857,1727486,152698,483007,224150,3038862,2035684,185360,5564610,989888,438079,830466,1276107,1106106,1072831,1917879,2737028,49732,340495,432836,4585870,206391,133311,0
2004,2203747,706053,791195,9091537,577924,786508,297659,1726990,151527,490715,229480,3064875,2071966,188722,5679322,1004917,443268,847549,1288162,1123868,1084224,1978744,2813025,50263,340311,435907,4682599,212809,135600,0
2005,2177898,731486,818069,9315583,585816,808976,306420,1741038,151267,501014,237132,3125855,2115842,194603,5713180,1028334,452060,861597,1305604,1145435,1110893,2061776,2835990,50763,342828,452514,4818414,220101,139461,0
2006,2191162,746892,834874,9442227,587286,821899,311970,1744368,150914,510436,244879,3163201,2156133,199887,5599275,1042090,455859,878810,1312529,1161975,1132283,2123805,2793517,51232,343116,465677,4885302,227213,142855,0
2007,2222025,767158,858599,9675590,594018,838852,319530,1755177,150519,522335,253489,3217892,2196237,205268,5555167,1063753,462610,899114,1322567,1183154,1161495,2203126,2765846,51892,346842,482750,4996169,235489,146992,0
2008,2280992,792836,885918,9963271,606821,854641,328716,1780351,151364,535895,263050,3288626,2246289,212013,5559760,1090376,473887,921961,1336894,1211042,1199356,2294458,2752614,52750,350356,502533,5135656,244840,152397,0
2009,2308587,813831,907127,10215481,611964,866242,336202,1795561,150944,548474,271792,3349014,2288719,217231,5550404,1112821,480928,945229,1351112,1235577,1232370,2378295,2737411,53752,353077,509152,5242140,254519,156927,0
2010,2338655,839500,933064,10446190,623512,883084,344333,1811877,151293,564253,282229,3428905,2338647,223689,5561701,1142732,489297,955399,1373664,1258086,1268500,2471325,2734848,54472,358154,525428,5360432,265124,162055,0
2011,2366727,858583,957831,10651938,631594,899841,350487,1832718,152081,578539,293167,3502461,2388902,228698,5535546,1167867,496912,976686,1394432,1279345,1304250,2553393,2716656,55282,362525,541294,5467669,275603,167139,0
2012,2408018,880146,985070,10844254,642796,914823,357295,1849436,152073,593971,303915,3565671,2441073,233504,5516297,1194713,503179,1003322,1413489,1307426,1337249,2640731,2703372,56279,365927,551891,5580194,284926,171497,0
2013,2470465,899615,1011311,11021818,650645,929609,364238,1866785,152293,609498,314423,3648810,2499009,238300,5477545,1219271,508275,1030227,1445862,1331655,1368024,2721223,2690438,57267,371352,568678,5683578,294228,174899,0
2014,2550197,918962,1032752,11218435,657391,942788,370048,1885955,152602,625915,324692,3738980,2564498,241756,5458207,1247608,512612,1061998,1482719,1359454,1394728,2805199,2694902,58534,375674,582892,5795171,302817,177980,0
2015,2636521,946294,1063810,11462332,673354,962714,378722,1914677,154021,645002,336104,3852146,2639318,247371,5479155,1286105,524186,1079800,1522825,1388421,1431069,2907701,2719145,59629,384365,609248,5958491,311988,181388,0
2016,2713173,967309,1092806,11687963,687263,984638,383221,1939121,155074,662543,346174,3936115,2717748,252922,5533584,1318504,532387,1108888,1555152,1415434,1462529,2998573,2765352,60726,392576,629625,6107477,320039,184561,0
2017,2779437,987835,1112897,11936034,697328,1005531,388201,1958729,156225,679885,354193,4009815,2800334,257883,5562456,1348584,537708,1143373,1573849,1437764,1491140,3088877,2816991,61832,398429,644206,6265593,326036,187181,0
2018,2845186,1019173,1144306,12292437,711554,1032046,396399,1992509,157847,700492,364089,4109166,2896643,264755,5641531,1388672,549181,1181553,1592567,1466042,1531806,3213466,2899793,63112,405563,663036,6494050,333954,189835,0
2019,2922345,1051926,1175848,12677817,727496,1059869,404283,2024314,159333,722406,375241,4208675,2999064,271842,5753142,1431359,562182,1217620,1613686,1494902,1572870,3339965,2997786,64165,413979,682101,6729397,343025,192794,0
